Внезапно подул сильный ветер;A strong wind blew suddenly
Очень злая собака укусила его;A very angry dog bit him
Внезапно подул очень сильный ветер;A very strong wind blew suddenly
Согласен с тобой;Agree with you
Я правильно делаю?;Am I doing the right thing?
Я делаю не то?;Am I doing the wrong thing?
Я избавляюсь от этих ненужных ошибок?;Am I getting rid of these unnecessary mistakes?
Я правильно говорю?;Am I saying it correctly?
Я жду тебя в нужном месте?;Am I waiting for you in the right place?
Я жду в правильном месте?;Am I waiting in the right place?
Злая собака укусила его;An angry dog bit him
Мои коллеги рассматривают это?;Are my colleagues considering it?
Мои родители уходят?;Are my parents leaving?
Наши менеджеры сокращают расходы?;Are our managers reducing the costs?
Рабочие ждут его решения?;Are the workers waiting for his decision?
Рабочие ждут этого решения?;Are the workers waiting for this decision?
Они это отрицают?;Are they denying it?
Они становятся богаче?;Are they getting richer?
Они пытаются скрыть правду?;Are they trying to hide the truth?
Они нас ждут?;Are they waiting for us?
Они гуляют в парке?;Are they walking in the park?
Мы приближаемся к этому уровню?;Are we getting closer to this level?
Мы стареем?;Are we getting older?
Мы теряем деньги?;Are we losing money?
Мы тратим наше время нерационально?;Are we spending our time irrationally?
Ты звонишь ему?;Are you calling him?
Вы рассматриваете это?;Are you considering it?
Вы загружаете это?;Are you downloading it?
Вы становитесь более независимым?;Are you getting more independent?
Вы хорошо проводите время?;Are you having a good time?
Вы прекрасно проводите время?;Are you having a great time?
Вы отдыхаете?;Are you having a rest?
Вы теряете терпение?;Are you losing patience?
Вы готовы пожертвовать эти деньги прямо сейчас?;Are you ready to donate this money right now?
Ты действительно шутишь?;Are you really kidding?
Вы тратите свои последние деньги на это?;Are you spending your last money on it?
Вы подписаны на этот канал?;Are you subscribed to this channel?
Ты говоришь по телефону?;Are you talking on the phone?
Вы пытаетесь улучшить это?;Are you trying to improve it?
Вы пытаетесь улучшить ситуацию?;Are you trying to improve the situation?
Вы загружаете это?;Are you uploading it?
Ты ждешь меня?;Are you waiting for me?
Как уже упоминалось;As it is already been mentioned
Как уже было сказано;As it is already been said
Как я уже упоминал;As i've already mentioned
Как я уже сказал;As i've already said
Плохие новости обычно быстро распространяются;Bad news usually spreads fast
Вдохни!;Breathe in!
Выдохнуть!;Breathe out!
